variant,item_id,subject,difficulty,question,answer,prediction_initial,confidence_initial,prediction_final,confidence_final,outcome,revision_action,citation_score_initial,fact_score_initial,citation_score_final,fact_score_final,hallucination,abstention,overconfident_error,unsupported_citation,misinformation_event,self_corrected
self_verifying_tutor,Q0298,general_science,easy,Humans breathe in (variant 4)?,Oxygen,Oxygen,0.747,Oxygen,0.775,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0299,general_science,easy,Which planet is known as the Red Planet (variant 4)?,Mars,ABSTAIN,0.51,ABSTAIN,0.51,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
self_verifying_tutor,Q0300,general_science,easy,The process of plants making food is (variant 4)?,Photosynthesis,Photosynthesis,0.844,Photosynthesis,0.872,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0301,general_science,easy,Earth revolves around the (variant 5)?,Sun,Sun,0.837,Sun,0.865,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0302,general_science,easy,Boiling point of water at sea level (variant 5)?,100°C,100°C,0.743,100°C,0.771,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0303,general_science,easy,Humans breathe in (variant 5)?,Oxygen,Oxygen,0.777,Oxygen,0.805,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0304,general_science,easy,Which planet is known as the Red Planet (variant 5)?,Mars,Mars,0.646,Mars,0.674,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0305,general_science,easy,The process of plants making food is (variant 5)?,Photosynthesis,Photosynthesis,0.785,Photosynthesis,0.813,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0306,general_science,easy,Earth revolves around the (variant 6)?,Sun,Sun,0.85,Sun,0.878,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0307,general_science,easy,Boiling point of water at sea level (variant 6)?,100°C,100°C,0.675,100°C,0.703,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0308,general_science,easy,Humans breathe in (variant 6)?,Oxygen,Helium,0.972,Oxygen,0.92,correct,self_corrected,1.0,0.0,1.0,1.0,0,0,0,0,0,1
self_verifying_tutor,Q0309,general_science,easy,Which planet is known as the Red Planet (variant 6)?,Mars,Saturn,0.766,Saturn,0.766,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
self_verifying_tutor,Q0310,general_science,easy,The process of plants making food is (variant 6)?,Photosynthesis,Photosynthesis,0.803,Photosynthesis,0.831,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0311,general_science,easy,Earth revolves around the (variant 7)?,Sun,Sun,0.767,Sun,0.795,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0312,general_science,easy,Boiling point of water at sea level (variant 7)?,100°C,100°C,0.714,100°C,0.742,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0313,general_science,easy,Humans breathe in (variant 7)?,Oxygen,Oxygen,0.598,Oxygen,0.626,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0314,general_science,easy,Which planet is known as the Red Planet (variant 7)?,Mars,Mars,0.72,Mars,0.748,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0315,general_science,easy,The process of plants making food is (variant 7)?,Photosynthesis,Photosynthesis,0.774,Photosynthesis,0.802,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0316,general_science,easy,Earth revolves around the (variant 8)?,Sun,Sun,0.691,Sun,0.719,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0317,general_science,easy,Boiling point of water at sea level (variant 8)?,100°C,100°C,0.848,100°C,0.876,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
self_verifying_tutor,Q0318,general_science,easy,Humans breathe in (variant 8)?,Oxygen,Helium,0.99,Oxygen,0.92,correct,self_corrected,1.0,0.0,1.0,1.0,0,0,0,0,0,1
self_verifying_tutor,Q0319,general_science,easy,Which planet is known as the Red Planet (variant 8)?,Mars,Mercury,0.793,Mars,0.803,correct,self_corrected,1.0,0.0,1.0,1.0,0,0,0,0,0,1
self_verifying_tutor,Q0320,general_science,easy,The process of plants making food is (variant 8)?,Photosynthesis,Photosynthesis,0.783,Photosynthesis,0.811,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0001,mathematics,easy,What is the derivative of x^2?,2x,2x,0.763,2x,0.781,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0002,mathematics,medium,What is the integral of 1/x?,ln|x| + C,1/x + C,0.802,1/x + C,0.802,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
rag_only_tutor,Q0003,mathematics,easy,"If f(x)=3x+2, what is f(4)?",14,ABSTAIN,0.299,ABSTAIN,0.299,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0004,mathematics,easy,What is the value of sin(pi/2)?,1,ABSTAIN,0.363,ABSTAIN,0.363,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0005,mathematics,easy,What is the solution to 2x+3=11?,4,4,0.768,4,0.786,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0006,mathematics,easy,What is the derivative of x^2 (variant 2)?,2x,2x,0.882,2x,0.9,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0007,mathematics,medium,What is the integral of 1/x (variant 2)?,ln|x| + C,ln|x| + C,0.875,ln|x| + C,0.893,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0008,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 2)?",14,14,0.742,14,0.76,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0009,mathematics,easy,What is the value of sin(pi/2) (variant 2)?,1,1,0.799,1,0.817,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0010,mathematics,easy,What is the solution to 2x+3=11 (variant 2)?,4,4,0.759,4,0.777,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0011,mathematics,easy,What is the derivative of x^2 (variant 3)?,2x,2x,0.744,2x,0.762,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0012,mathematics,medium,What is the integral of 1/x (variant 3)?,ln|x| + C,ABSTAIN,0.523,ABSTAIN,0.523,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0013,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 3)?",14,14,0.87,14,0.888,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0014,mathematics,easy,What is the value of sin(pi/2) (variant 3)?,1,1,0.806,1,0.824,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0015,mathematics,easy,What is the solution to 2x+3=11 (variant 3)?,4,4,0.924,4,0.942,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0016,mathematics,easy,What is the derivative of x^2 (variant 4)?,2x,2x,0.867,2x,0.885,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0017,mathematics,medium,What is the integral of 1/x (variant 4)?,ln|x| + C,e^x + C,0.866,e^x + C,0.866,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
rag_only_tutor,Q0018,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 4)?",14,14,0.762,14,0.78,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0019,mathematics,easy,What is the value of sin(pi/2) (variant 4)?,1,1/2,0.99,1/2,0.99,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
rag_only_tutor,Q0020,mathematics,easy,What is the solution to 2x+3=11 (variant 4)?,4,ABSTAIN,0.303,ABSTAIN,0.303,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0021,mathematics,easy,What is the derivative of x^2 (variant 5)?,2x,2x,0.893,2x,0.911,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0022,mathematics,medium,What is the integral of 1/x (variant 5)?,ln|x| + C,1/x + C,0.752,1/x + C,0.752,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
rag_only_tutor,Q0023,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 5)?",14,14,0.648,14,0.666,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0024,mathematics,easy,What is the value of sin(pi/2) (variant 5)?,1,1,0.727,1,0.745,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0025,mathematics,easy,What is the solution to 2x+3=11 (variant 5)?,4,4,0.821,4,0.839,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0026,mathematics,easy,What is the derivative of x^2 (variant 6)?,2x,ABSTAIN,0.262,ABSTAIN,0.262,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0027,mathematics,medium,What is the integral of 1/x (variant 6)?,ln|x| + C,ln|x| + C,0.838,ln|x| + C,0.856,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0028,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 6)?",14,ABSTAIN,0.413,ABSTAIN,0.413,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0029,mathematics,easy,What is the value of sin(pi/2) (variant 6)?,1,1,0.616,1,0.634,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0030,mathematics,easy,What is the solution to 2x+3=11 (variant 6)?,4,4,0.671,4,0.689,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0031,mathematics,easy,What is the derivative of x^2 (variant 7)?,2x,2x,0.804,2x,0.822,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0032,mathematics,medium,What is the integral of 1/x (variant 7)?,ln|x| + C,ln|x| + C,0.891,ln|x| + C,0.909,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0033,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 7)?",14,14,0.799,14,0.817,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0034,mathematics,easy,What is the value of sin(pi/2) (variant 7)?,1,1,0.724,1,0.742,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0035,mathematics,easy,What is the solution to 2x+3=11 (variant 7)?,4,4,0.8,4,0.818,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0036,mathematics,easy,What is the derivative of x^2 (variant 8)?,2x,2x,0.745,2x,0.763,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0037,mathematics,medium,What is the integral of 1/x (variant 8)?,ln|x| + C,ABSTAIN,0.461,ABSTAIN,0.461,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0038,mathematics,easy,"If f(x)=3x+2, what is f(4) (variant 8)?",14,14,0.76,14,0.778,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0039,mathematics,easy,What is the value of sin(pi/2) (variant 8)?,1,ABSTAIN,0.287,ABSTAIN,0.287,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0040,mathematics,easy,What is the solution to 2x+3=11 (variant 8)?,4,4,0.833,4,0.851,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0041,physics,easy,What is the SI unit of force?,Newton,ABSTAIN,0.278,ABSTAIN,0.278,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0042,physics,easy,What is the speed of light in vacuum?,3×10^8 m/s,3×10^6 m/s,0.736,ABSTAIN,0.536,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0043,physics,easy,Ohm's law is expressed as?,V=IR,V=IR,0.931,V=IR,0.949,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0044,physics,medium,Which quantity is conserved in an isolated system?,Mass-energy,Mass-energy,0.689,Mass-energy,0.707,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0045,physics,easy,Unit of electric current?,Ampere,Ampere,0.834,Ampere,0.852,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0046,physics,easy,What is the SI unit of force (variant 2)?,Newton,Newton,0.842,Newton,0.86,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0047,physics,easy,What is the speed of light in vacuum (variant 2)?,3×10^8 m/s,3×10^8 m/s,0.758,3×10^8 m/s,0.776,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0048,physics,easy,Ohm's law is expressed as (variant 2)?,V=IR,V=IR,0.793,V=IR,0.811,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0049,physics,medium,Which quantity is conserved in an isolated system (variant 2)?,Mass-energy,Mass-energy,0.803,Mass-energy,0.821,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0050,physics,easy,Unit of electric current (variant 2)?,Ampere,Ohm,0.844,Ohm,0.844,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
rag_only_tutor,Q0051,physics,easy,What is the SI unit of force (variant 3)?,Newton,Pascal,0.678,Pascal,0.678,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
rag_only_tutor,Q0052,physics,easy,What is the speed of light in vacuum (variant 3)?,3×10^8 m/s,3×10^8 m/s,0.917,3×10^8 m/s,0.935,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0053,physics,easy,Ohm's law is expressed as (variant 3)?,V=IR,P=IV,0.716,ABSTAIN,0.516,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0054,physics,medium,Which quantity is conserved in an isolated system (variant 3)?,Mass-energy,Temperature,0.8,Temperature,0.8,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
rag_only_tutor,Q0055,physics,easy,Unit of electric current (variant 3)?,Ampere,Ampere,0.685,Ampere,0.703,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0056,physics,easy,What is the SI unit of force (variant 4)?,Newton,Newton,0.893,Newton,0.911,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0057,physics,easy,What is the speed of light in vacuum (variant 4)?,3×10^8 m/s,3×10^8 m/s,0.674,3×10^8 m/s,0.692,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0058,physics,easy,Ohm's law is expressed as (variant 4)?,V=IR,F=ma,0.739,F=ma,0.739,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
rag_only_tutor,Q0059,physics,medium,Which quantity is conserved in an isolated system (variant 4)?,Mass-energy,Temperature,0.99,Temperature,0.99,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
rag_only_tutor,Q0060,physics,easy,Unit of electric current (variant 4)?,Ampere,Ampere,0.855,Ampere,0.873,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0061,physics,easy,What is the SI unit of force (variant 5)?,Newton,Newton,0.838,Newton,0.856,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0062,physics,easy,What is the speed of light in vacuum (variant 5)?,3×10^8 m/s,3×10^8 m/s,0.859,3×10^8 m/s,0.877,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0063,physics,easy,Ohm's law is expressed as (variant 5)?,V=IR,V=IR,0.613,V=IR,0.631,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0064,physics,medium,Which quantity is conserved in an isolated system (variant 5)?,Mass-energy,Mass-energy,0.751,Mass-energy,0.769,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0065,physics,easy,Unit of electric current (variant 5)?,Ampere,ABSTAIN,0.502,ABSTAIN,0.502,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0066,physics,easy,What is the SI unit of force (variant 6)?,Newton,Newton,0.765,Newton,0.783,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0067,physics,easy,What is the speed of light in vacuum (variant 6)?,3×10^8 m/s,3×10^8 m/s,0.791,3×10^8 m/s,0.809,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0068,physics,easy,Ohm's law is expressed as (variant 6)?,V=IR,V=IR,0.908,V=IR,0.926,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0069,physics,medium,Which quantity is conserved in an isolated system (variant 6)?,Mass-energy,Mass-energy,0.664,Mass-energy,0.682,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0070,physics,easy,Unit of electric current (variant 6)?,Ampere,Volt,0.54,ABSTAIN,0.34,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0071,physics,easy,What is the SI unit of force (variant 7)?,Newton,Newton,0.685,Newton,0.703,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0072,physics,easy,What is the speed of light in vacuum (variant 7)?,3×10^8 m/s,3×10^8 m/s,0.778,3×10^8 m/s,0.796,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0073,physics,easy,Ohm's law is expressed as (variant 7)?,V=IR,V=IR,0.71,V=IR,0.728,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0074,physics,medium,Which quantity is conserved in an isolated system (variant 7)?,Mass-energy,Mass-energy,0.74,Mass-energy,0.758,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0075,physics,easy,Unit of electric current (variant 7)?,Ampere,Ampere,0.829,Ampere,0.847,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0076,physics,easy,What is the SI unit of force (variant 8)?,Newton,Newton,0.781,Newton,0.799,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0077,physics,easy,What is the speed of light in vacuum (variant 8)?,3×10^8 m/s,3×10^8 m/s,0.815,3×10^8 m/s,0.833,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0078,physics,easy,Ohm's law is expressed as (variant 8)?,V=IR,V=IR,0.879,V=IR,0.897,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0079,physics,medium,Which quantity is conserved in an isolated system (variant 8)?,Mass-energy,Mass-energy,0.745,Mass-energy,0.763,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0080,physics,easy,Unit of electric current (variant 8)?,Ampere,Tesla,0.99,ABSTAIN,0.6,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0081,chemistry,easy,Atomic number of oxygen?,8,10,0.793,ABSTAIN,0.593,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0082,chemistry,easy,pH less than 7 indicates?,Acid,Base,0.864,Base,0.864,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
rag_only_tutor,Q0083,chemistry,easy,Chemical symbol for sodium?,Na,Na,0.746,Na,0.764,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0084,chemistry,easy,Water is composed of which elements?,Hydrogen and oxygen,Oxygen and carbon,0.689,Oxygen and carbon,0.689,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
rag_only_tutor,Q0085,chemistry,challenge,Avogadro's number is approximately?,6.02×10^23,3×10^8,0.757,3×10^8,0.757,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
rag_only_tutor,Q0086,chemistry,easy,Atomic number of oxygen (variant 2)?,8,10,0.974,ABSTAIN,0.6,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0087,chemistry,easy,pH less than 7 indicates (variant 2)?,Acid,Acid,0.778,Acid,0.796,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0088,chemistry,easy,Chemical symbol for sodium (variant 2)?,Na,Na,0.949,Na,0.967,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0089,chemistry,easy,Water is composed of which elements (variant 2)?,Hydrogen and oxygen,Hydrogen and oxygen,0.727,Hydrogen and oxygen,0.745,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0090,chemistry,challenge,Avogadro's number is approximately (variant 2)?,6.02×10^23,1.6×10^-19,0.732,1.6×10^-19,0.732,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
rag_only_tutor,Q0091,chemistry,easy,Atomic number of oxygen (variant 3)?,8,8,0.827,8,0.845,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0092,chemistry,easy,pH less than 7 indicates (variant 3)?,Acid,Acid,0.812,Acid,0.83,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0093,chemistry,easy,Chemical symbol for sodium (variant 3)?,Na,Na,0.707,Na,0.725,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0094,chemistry,easy,Water is composed of which elements (variant 3)?,Hydrogen and oxygen,Hydrogen and oxygen,0.784,Hydrogen and oxygen,0.802,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0095,chemistry,challenge,Avogadro's number is approximately (variant 3)?,6.02×10^23,1.6×10^-19,0.99,ABSTAIN,0.6,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0096,chemistry,easy,Atomic number of oxygen (variant 4)?,8,8,0.7,8,0.718,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0097,chemistry,easy,pH less than 7 indicates (variant 4)?,Acid,Salt,0.897,ABSTAIN,0.6,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0098,chemistry,easy,Chemical symbol for sodium (variant 4)?,Na,S,0.827,S,0.827,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,1,0
rag_only_tutor,Q0099,chemistry,easy,Water is composed of which elements (variant 4)?,Hydrogen and oxygen,Hydrogen and oxygen,0.658,Hydrogen and oxygen,0.676,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0100,chemistry,challenge,Avogadro's number is approximately (variant 4)?,6.02×10^23,6.02×10^23,0.867,6.02×10^23,0.885,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0101,chemistry,easy,Atomic number of oxygen (variant 5)?,8,ABSTAIN,0.385,ABSTAIN,0.385,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0102,chemistry,easy,pH less than 7 indicates (variant 5)?,Acid,Acid,0.724,Acid,0.742,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0103,chemistry,easy,Chemical symbol for sodium (variant 5)?,Na,Na,0.784,Na,0.802,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0104,chemistry,easy,Water is composed of which elements (variant 5)?,Hydrogen and oxygen,Hydrogen and oxygen,0.654,Hydrogen and oxygen,0.672,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0105,chemistry,challenge,Avogadro's number is approximately (variant 5)?,6.02×10^23,ABSTAIN,0.403,ABSTAIN,0.403,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0106,chemistry,easy,Atomic number of oxygen (variant 6)?,8,6,0.569,6,0.569,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,0,0,0,0
rag_only_tutor,Q0107,chemistry,easy,pH less than 7 indicates (variant 6)?,Acid,Acid,0.674,Acid,0.692,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0108,chemistry,easy,Chemical symbol for sodium (variant 6)?,Na,Na,0.849,Na,0.867,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0109,chemistry,easy,Water is composed of which elements (variant 6)?,Hydrogen and oxygen,Hydrogen and oxygen,0.777,Hydrogen and oxygen,0.795,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0110,chemistry,challenge,Avogadro's number is approximately (variant 6)?,6.02×10^23,ABSTAIN,0.539,ABSTAIN,0.539,abstained,kept,1.0,1.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0111,chemistry,easy,Atomic number of oxygen (variant 7)?,8,8,0.811,8,0.829,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0112,chemistry,easy,pH less than 7 indicates (variant 7)?,Acid,Acid,0.739,Acid,0.757,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0113,chemistry,easy,Chemical symbol for sodium (variant 7)?,Na,Na,0.69,Na,0.708,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
rag_only_tutor,Q0114,chemistry,easy,Water is composed of which elements (variant 7)?,Hydrogen and oxygen,Hydrogen and nitrogen,0.862,Hydrogen and nitrogen,0.862,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
rag_only_tutor,Q0115,chemistry,challenge,Avogadro's number is approximately (variant 7)?,6.02×10^23,3×10^8,0.706,ABSTAIN,0.506,abstained,abstained_after_check,1.0,0.0,1.0,1.0,0,1,0,0,0,0
rag_only_tutor,Q0116,chemistry,easy,Atomic number of oxygen (variant 8)?,8,10,0.958,10,0.958,hallucinated,kept,1.0,0.0,1.0,0.0,1,0,1,0,1,0
rag_only_tutor,Q0117,chemistry,easy,pH less than 7 indicates (variant 8)?,Acid,Acid,0.766,Acid,0.784,correct,verified,1.0,1.0,1.0,1.0,0,0,0,0,0,0
